ENSP,is_oncogene,is_fusion,is_TSG,is_cancer_protein
ENSP00000363109,True,False,False,True
ENSP00000363113,True,False,False,True
ENSP00000397953,True,False,False,True
ENSP00000363105,True,False,False,True
ENSP00000363107,True,False,False,True
ENSP00000378873,True,False,False,True
ENSP00000378868,True,False,False,True
ENSP00000365340,False,True,True,True
ENSP00000352114,False,True,True,True
ENSP00000365312,False,True,True,True
ENSP00000365309,False,True,True,True
ENSP00000365330,False,True,True,True
ENSP00000365336,False,True,True,True
ENSP00000365308,False,True,True,True
ENSP00000365310,False,True,True,True
ENSP00000439646,False,True,True,True
ENSP00000279599,False,True,True,True
ENSP00000365307,False,True,True,True
ENSP00000440101,False,True,True,True
ENSP00000361423,True,True,False,True
ENSP00000376971,True,True,False,True
ENSP00000323315,True,True,False,True
ENSP00000339209,True,True,False,True
ENSP00000427562,True,True,False,True
ENSP00000423578,True,True,False,True
ENSP00000426831,True,True,False,True
ENSP00000356595,True,True,False,True
ENSP00000423413,True,True,False,True
ENSP00000424697,True,True,False,True
ENSP00000405945,True,True,False,True
ENSP00000272928,True,True,False,True
ENSP00000375918,False,True,False,True
ENSP00000385157,False,True,False,True
ENSP00000505400,False,True,False,True
ENSP00000506590,False,True,False,True
ENSP00000505334,False,True,False,True
ENSP00000505933,False,True,False,True
ENSP00000505878,False,True,False,True
ENSP00000504977,False,True,False,True
ENSP00000506382,False,True,False,True
ENSP00000505336,False,True,False,True
ENSP00000505793,False,True,False,True
ENSP00000506668,False,True,False,True
ENSP00000504861,False,True,False,True
ENSP00000505150,False,True,False,True
ENSP00000506361,False,True,False,True
ENSP00000350012,False,True,False,True
ENSP00000505856,False,True,False,True
ENSP00000505940,False,True,False,True
ENSP00000505654,False,True,False,True
ENSP00000416913,False,True,False,True
ENSP00000504907,False,True,False,True
ENSP00000506468,False,True,False,True
ENSP00000441643,False,True,False,True
ENSP00000498260,False,True,False,True
ENSP00000499063,False,True,False,True
ENSP00000498377,False,True,False,True
ENSP00000498458,False,True,False,True
ENSP00000368557,False,True,False,True
ENSP00000368548,False,True,False,True
ENSP00000368546,False,True,False,True
ENSP00000498492,False,True,False,True
ENSP00000498263,False,True,False,True
ENSP00000498727,False,True,False,True
ENSP00000498588,False,True,False,True
ENSP00000498444,False,True,False,True
ENSP00000368542,False,True,False,True
ENSP00000498305,False,True,False,True
ENSP00000296869,False,True,False,True
ENSP00000499071,False,True,False,True
ENSP00000397507,False,True,False,True
