node_name,is_oncogene,is_fusion,is_TSG,is_cancer_protein
ENSP00000258457,False,False,False,False
ENSP00000437121,False,False,False,False
ENSP00000367229,False,False,False,False
ENSP00000353770,False,False,False,False
ENSP00000222256,False,False,False,False
ENSP00000369777,False,False,False,False
ENSP00000280377,False,False,False,False
ENSP00000311035,False,False,False,False
ENSP00000329158,False,False,False,False
ENSP00000260585,False,False,False,False
ENSP00000240328,False,False,False,False
ENSP00000466051,False,False,False,False
ENSP00000378920,False,False,False,False
ENSP00000484056,False,False,False,False
ENSP00000492058,False,False,False,False
ENSP00000375237,False,False,False,False
ENSP00000435648,False,False,False,False
ENSP00000265224,False,False,False,False
ENSP00000296674,False,False,False,False
ENSP00000492463,False,False,False,False
ENSP00000306522,False,True,True,True
ENSP00000009105,False,False,False,False
ENSP00000419260,False,False,False,False
ENSP00000363480,False,False,False,False
ENSP00000384744,False,False,False,False
ENSP00000483585,False,False,False,False
ENSP00000217320,False,False,False,False
ENSP00000328487,False,False,False,False
ENSP00000410042,False,False,False,False
ENSP00000334276,False,False,False,False
ENSP00000366487,False,False,False,False
ENSP00000226317,False,False,False,False
ENSP00000184183,False,False,False,False
ENSP00000304926,False,False,False,False
ENSP00000406047,False,False,False,False
ENSP00000443021,False,False,False,False
ENSP00000384966,False,False,False,False
ENSP00000363638,False,False,False,False
ENSP00000415332,False,False,False,False
ENSP00000359022,False,False,False,False
ENSP00000381773,False,False,False,False
ENSP00000311368,False,False,False,False
ENSP00000350673,False,False,False,False
ENSP00000372286,False,False,False,False
ENSP00000376565,False,False,False,False
ENSP00000439937,False,False,False,False
ENSP00000469863,False,False,False,False
ENSP00000384515,False,False,False,False
ENSP00000355370,False,False,False,False
ENSP00000370984,False,False,False,False
ENSP00000498702,False,False,False,False
ENSP00000333776,False,False,False,True
ENSP00000369126,False,False,False,False
ENSP00000483467,False,False,False,False
ENSP00000264908,False,False,False,False
ENSP00000313921,False,False,False,False
ENSP00000333593,False,False,False,False
ENSP00000419652,False,False,False,False
ENSP00000259335,False,False,False,False
ENSP00000314806,True,True,False,True
ENSP00000365720,False,False,False,False
ENSP00000264376,False,False,False,False
ENSP00000307321,False,False,False,False
ENSP00000273283,False,False,False,False
ENSP00000265896,False,False,False,False
ENSP00000359052,False,False,False,False
ENSP00000361272,False,False,False,False
ENSP00000221086,False,False,False,False
ENSP00000276914,False,False,False,False
ENSP00000297668,False,False,False,False
ENSP00000281924,False,False,False,False
ENSP00000348496,False,False,False,False
ENSP00000279907,False,False,False,False
ENSP00000431984,False,False,False,False
ENSP00000497271,False,False,False,False
ENSP00000215570,False,False,False,False
ENSP00000458018,False,False,False,False
ENSP00000423333,False,False,False,False
ENSP00000344942,False,False,False,False
ENSP00000258991,False,False,False,False
ENSP00000263228,False,False,False,False
ENSP00000216068,False,False,False,False
ENSP00000271332,False,False,False,False
ENSP00000363559,False,False,False,False
ENSP00000392700,False,False,False,False
ENSP00000226524,False,False,False,False
ENSP00000435777,False,False,False,False
ENSP00000438863,False,False,False,False
ENSP00000440100,False,False,False,False
ENSP00000303452,False,False,False,False
ENSP00000367714,False,False,False,False
ENSP00000334044,False,False,False,False
ENSP00000463559,False,False,False,False
ENSP00000262213,False,False,False,False
ENSP00000350786,False,False,False,False
ENSP00000360183,False,False,False,False
ENSP00000480270,False,False,False,False
ENSP00000375476,False,False,False,False
ENSP00000227918,False,False,False,False
ENSP00000231751,False,False,False,False
ENSP00000265983,False,False,False,False
ENSP00000342385,False,False,False,False
ENSP00000262384,False,False,False,False
ENSP00000454804,False,False,False,False
ENSP00000238616,False,False,False,False
ENSP00000326342,False,False,False,False
ENSP00000360762,False,False,False,False
ENSP00000323635,False,False,False,False
ENSP00000377789,False,False,False,False
ENSP00000381302,False,False,False,False
ENSP00000318234,False,False,False,False
ENSP00000265986,False,False,False,False
ENSP00000005178,False,False,False,False
ENSP00000288078,False,False,False,False
ENSP00000331965,False,False,False,False
ENSP00000365019,False,False,False,False
ENSP00000007390,False,False,False,False
ENSP00000417806,False,False,False,False
ENSP00000314484,False,False,False,False
ENSP00000445929,False,False,False,False
ENSP00000499121,False,False,False,False
ENSP00000284273,False,False,False,False
ENSP00000399968,True,True,False,True
ENSP00000281961,False,False,False,False
ENSP00000383682,False,False,False,False
ENSP00000369755,False,False,False,False
ENSP00000420616,False,False,False,False
ENSP00000441838,False,False,False,False
ENSP00000359596,False,False,False,False
ENSP00000308695,False,False,False,False
ENSP00000344220,False,False,False,False
ENSP00000378721,False,False,False,False
ENSP00000384949,False,False,False,False
ENSP00000352358,False,False,False,False
ENSP00000386830,False,False,False,False
ENSP00000266980,False,False,False,False
ENSP00000346603,False,False,False,False
ENSP00000315190,False,False,False,False
ENSP00000329933,False,False,False,False
ENSP00000496593,False,False,False,False
ENSP00000349296,False,False,False,False
ENSP00000322545,False,False,False,False
ENSP00000359640,False,False,False,False
ENSP00000472681,False,False,False,False
ENSP00000362304,False,False,False,False
ENSP00000477707,False,False,False,False
ENSP00000478257,False,False,False,False
ENSP00000498587,True,True,True,True
ENSP00000440045,False,False,False,False
ENSP00000336775,False,False,False,False
ENSP00000357922,False,False,False,False
ENSP00000363286,False,False,False,False
ENSP00000467958,False,False,False,False
ENSP00000317992,False,False,False,False
ENSP00000310260,False,False,False,False
ENSP00000347586,False,False,False,False
ENSP00000332340,False,False,False,False
ENSP00000306822,False,False,False,False
ENSP00000303482,False,False,False,False
ENSP00000489551,False,False,False,False
ENSP00000335094,False,False,False,False
ENSP00000483408,False,False,False,False
ENSP00000265164,False,False,False,False
ENSP00000384996,False,False,False,False
ENSP00000442553,False,False,False,False
ENSP00000282369,False,False,False,False
ENSP00000447651,False,False,False,False
ENSP00000376178,False,False,False,False
ENSP00000356518,False,False,False,False
ENSP00000216807,False,False,False,False
ENSP00000266534,False,False,False,False
ENSP00000376658,False,False,False,False
ENSP00000279178,False,False,False,False
ENSP00000462664,False,False,False,False
ENSP00000368389,False,False,False,False
ENSP00000438468,False,False,False,False
ENSP00000218340,False,False,False,False
ENSP00000333401,False,False,False,False
ENSP00000393776,False,False,False,False
ENSP00000440288,False,False,False,False
ENSP00000479656,False,False,False,False
ENSP00000364482,False,False,False,False
ENSP00000378897,False,False,False,False
ENSP00000379365,False,False,False,False
ENSP00000457492,False,False,False,False
ENSP00000315137,False,False,False,False
ENSP00000375859,False,False,False,False
ENSP00000370150,False,False,False,False
ENSP00000277225,False,False,False,False
ENSP00000252318,False,False,False,False
ENSP00000379256,False,False,False,False
ENSP00000216115,False,False,False,False
ENSP00000229304,False,False,False,False
ENSP00000314157,False,False,False,False
ENSP00000384653,False,False,False,False
ENSP00000361177,False,False,False,False
ENSP00000420659,False,False,False,False
ENSP00000432487,False,False,False,False
ENSP00000478061,False,False,False,False
ENSP00000360266,True,False,False,True
ENSP00000281081,False,False,False,False
ENSP00000353246,False,False,False,False
ENSP00000356076,False,False,False,False
ENSP00000220166,False,False,False,False
ENSP00000258098,False,False,False,False
ENSP00000297436,False,False,False,False
ENSP00000498684,False,False,False,False
ENSP00000299578,False,False,False,False
ENSP00000491758,False,False,False,False
ENSP00000264498,False,False,False,False
ENSP00000272519,False,False,False,False
ENSP00000259631,False,False,False,False
ENSP00000323424,False,False,False,False
ENSP00000430711,False,False,False,False
ENSP00000461425,False,False,False,False
ENSP00000479850,False,False,False,False
ENSP00000312134,False,False,False,False
ENSP00000330349,False,False,False,False
ENSP00000263440,False,False,False,False
ENSP00000498991,False,False,False,False
ENSP00000238146,False,False,False,False
ENSP00000492220,False,False,False,False
ENSP00000190165,False,False,False,False
ENSP00000261596,False,False,False,False
ENSP00000342056,False,False,False,False
ENSP00000317691,False,False,False,False
ENSP00000462600,False,False,False,False
ENSP00000252037,False,False,False,False
ENSP00000376335,False,False,False,False
ENSP00000334330,False,False,False,False
ENSP00000284322,False,False,False,False
ENSP00000228136,False,False,False,False
ENSP00000377570,False,False,False,False
ENSP00000252891,False,False,False,False
ENSP00000295095,False,False,False,False
ENSP00000394178,False,False,False,False
ENSP00000268053,False,False,False,False
ENSP00000501135,False,False,False,False
ENSP00000384408,False,False,False,False
ENSP00000412361,False,False,False,False
ENSP00000324204,False,False,False,False
ENSP00000348385,False,False,False,False
ENSP00000268154,False,False,False,False
ENSP00000430276,False,False,False,False
ENSP00000498589,False,False,False,False
ENSP00000282020,False,False,False,False
ENSP00000402935,False,False,False,False
ENSP00000420686,False,False,False,False
ENSP00000361800,False,False,False,False
ENSP00000267415,False,False,False,False
ENSP00000362125,False,False,False,False
ENSP00000436649,False,False,False,False
ENSP00000203629,False,False,False,False
ENSP00000215912,False,False,False,False
ENSP00000309548,False,False,False,False
ENSP00000354923,False,False,False,False
ENSP00000356202,False,False,False,False
ENSP00000362181,False,False,False,False
ENSP00000492425,False,False,False,False
ENSP00000396995,False,False,False,False
ENSP00000296438,False,False,False,False
ENSP00000334181,False,False,False,False
ENSP00000304553,False,False,False,False
ENSP00000356607,False,False,False,False
ENSP00000394510,False,False,False,False
ENSP00000285930,False,False,False,False
ENSP00000405574,True,True,True,True
ENSP00000325822,False,False,False,False
ENSP00000331369,False,False,False,False
ENSP00000273047,False,False,False,False
ENSP00000295108,False,False,False,False
ENSP00000401502,False,False,False,False
ENSP00000312397,False,False,False,False
ENSP00000332615,False,False,False,False
ENSP00000360806,False,False,False,False
ENSP00000282572,False,False,False,False
ENSP00000351155,False,False,False,False
ENSP00000389241,False,False,False,False
ENSP00000420608,False,False,False,False
ENSP00000284116,False,False,False,False
ENSP00000418719,False,False,False,False
ENSP00000234296,False,False,False,False
ENSP00000425493,False,False,False,False
ENSP00000436318,False,False,False,False
ENSP00000443475,False,False,False,False
ENSP00000341992,False,False,False,False
ENSP00000484689,False,False,False,False
ENSP00000340644,False,False,False,False
ENSP00000243314,False,False,False,False
ENSP00000405032,False,False,False,False
ENSP00000422581,False,False,False,False
ENSP00000335493,False,False,False,False
ENSP00000403323,False,False,False,False
ENSP00000296149,False,False,False,False
ENSP00000424191,False,False,False,False
ENSP00000432459,False,False,False,False
ENSP00000418009,False,False,False,False
ENSP00000262352,False,False,False,False
ENSP00000360688,False,False,False,False
ENSP00000338806,False,False,False,False
ENSP00000381461,False,False,False,False
ENSP00000356733,False,False,False,False
ENSP00000488404,False,False,False,False
ENSP00000252250,False,False,False,False
ENSP00000385347,False,False,False,False
ENSP00000357914,False,False,False,False
ENSP00000361980,False,False,False,False
ENSP00000322788,False,False,False,False
ENSP00000221114,False,False,False,False
ENSP00000304355,False,False,False,False
ENSP00000246112,False,False,False,False
ENSP00000473194,False,False,False,False
ENSP00000411197,False,False,False,False
ENSP00000276533,False,False,False,False
ENSP00000301159,False,False,False,False
ENSP00000360597,False,False,False,False
ENSP00000467262,False,False,False,False
ENSP00000273352,False,False,False,False
ENSP00000366378,False,False,False,False
ENSP00000037502,False,False,False,False
ENSP00000340883,False,False,True,True
ENSP00000229335,False,False,False,False
ENSP00000419313,False,False,False,False
ENSP00000430853,False,False,False,False
ENSP00000445829,False,False,False,False
ENSP00000453858,False,False,False,False
ENSP00000473172,False,False,False,False
ENSP00000288840,False,False,False,False
ENSP00000477515,False,False,False,False
ENSP00000216455,False,False,False,False
ENSP00000286918,False,False,False,False
ENSP00000298786,False,False,False,False
ENSP00000362601,False,False,False,False
ENSP00000452401,False,False,False,False
ENSP00000498161,False,False,False,False
ENSP00000328036,False,False,False,False
ENSP00000353344,False,False,False,False
ENSP00000385216,False,True,False,True
ENSP00000292211,False,False,False,False
ENSP00000481096,False,False,False,False
ENSP00000287042,False,False,False,False
ENSP00000287139,False,False,False,False
ENSP00000342512,False,False,False,False
ENSP00000354632,False,False,False,False
ENSP00000320084,False,False,False,False
ENSP00000415579,False,False,False,False
ENSP00000362047,False,False,False,False
ENSP00000450461,False,False,False,False
ENSP00000365804,False,False,False,False
ENSP00000356840,False,False,False,False
ENSP00000361036,False,False,False,False
ENSP00000283875,False,False,False,False
ENSP00000281701,False,False,False,False
ENSP00000219746,False,False,False,False
ENSP00000262262,False,False,False,False
ENSP00000266376,False,False,False,False
ENSP00000296679,False,False,False,False
ENSP00000253382,False,False,False,False
ENSP00000248923,False,False,False,False
ENSP00000278426,False,False,False,False
ENSP00000358590,False,False,False,False
ENSP00000408695,False,False,False,False
ENSP00000346012,False,False,False,False
ENSP00000288167,False,False,False,False
ENSP00000252723,False,False,False,False
ENSP00000353732,False,False,False,False
ENSP00000369860,False,False,False,False
ENSP00000414147,False,False,False,False
ENSP00000476312,False,False,False,False
ENSP00000366827,False,False,False,False
ENSP00000427820,False,False,False,False
ENSP00000294409,False,False,False,False
ENSP00000359382,False,False,False,False
ENSP00000330875,False,False,True,True
ENSP00000355245,False,False,False,False
ENSP00000345853,False,False,False,False
ENSP00000296029,False,False,False,False
ENSP00000354686,False,False,False,False
ENSP00000384053,False,False,False,False
ENSP00000356669,False,False,False,False
ENSP00000362376,False,False,False,False
ENSP00000344446,False,False,False,False
ENSP00000238738,False,False,False,False
ENSP00000420182,False,False,False,False
ENSP00000253024,False,False,False,False
ENSP00000357746,False,False,False,False
ENSP00000305533,False,False,False,False
ENSP00000287598,False,False,True,True
ENSP00000279227,False,False,False,False
ENSP00000486357,False,False,False,False
ENSP00000054668,False,False,False,False
ENSP00000354920,False,False,False,False
ENSP00000348099,False,False,False,False
ENSP00000321388,False,False,False,False
ENSP00000363259,False,False,False,False
ENSP00000391826,False,False,False,False
ENSP00000369318,False,False,False,False
ENSP00000285393,False,False,False,False
ENSP00000246635,False,False,False,False
ENSP00000255174,False,False,False,False
ENSP00000308753,False,False,False,False
ENSP00000426387,False,False,False,False
ENSP00000365550,False,False,False,False
ENSP00000356382,False,False,False,False
ENSP00000450742,False,False,False,False
ENSP00000215906,False,False,False,False
ENSP00000259633,False,False,False,False
ENSP00000396330,False,False,False,False
ENSP00000436152,False,False,False,False
ENSP00000266659,False,False,False,False
ENSP00000357906,False,False,False,False
ENSP00000265748,False,False,False,False
ENSP00000328773,False,False,False,False
ENSP00000357807,False,False,False,False
ENSP00000392407,False,False,False,False
ENSP00000310657,False,False,False,False
ENSP00000482657,False,False,False,False
ENSP00000358098,False,False,False,False
ENSP00000245544,False,False,False,False
ENSP00000263314,False,False,False,False
ENSP00000387875,False,False,False,False
ENSP00000404432,False,False,False,False
ENSP00000233813,False,False,False,False
ENSP00000333833,False,False,False,False
ENSP00000216223,False,False,False,False
ENSP00000285697,False,False,False,False
ENSP00000484634,False,False,False,False
ENSP00000320951,False,False,False,False
ENSP00000338276,False,False,False,False
ENSP00000365012,False,False,False,False
ENSP00000272645,False,False,False,False
ENSP00000380676,False,False,False,False
